Jogada: (D 5 2) | Nos: 214 | Cortes-alpha: 11 | Cortes-beta: 7 | Tempo: 0.296s
Jogada: (E 3 4) | Nos: 203 | Cortes-alpha: 12 | Cortes-beta: 12 | Tempo: 0.290s
Jogada: (CD 7 3) | Nos: 181 | Cortes-alpha: 11 | Cortes-beta: 11 | Tempo: 0.270s
Jogada: (CC 3 3) | Nos: 328 | Cortes-alpha: 12 | Cortes-beta: 23 | Tempo: 0.439s
Jogada: (B 1 3) | Nos: 318 | Cortes-alpha: 10 | Cortes-beta: 5 | Tempo: 0.417s
Jogada: (CD 2 3) | Nos: 263 | Cortes-alpha: 11 | Cortes-beta: 10 | Tempo: 0.356s
Jogada: (C 7 5) | Nos: 90 | Cortes-alpha: 8 | Cortes-beta: 2 | Tempo: 0.130s
Jogada: (C 5 3) | Nos: 106 | Cortes-alpha: 6 | Cortes-beta: 6 | Tempo: 0.153s
Jogada: (D 4 3) | Nos: 153 | Cortes-alpha: 8 | Cortes-beta: 2 | Tempo: 0.211s
Jogada: (E 4 4) | Nos: 137 | Cortes-alpha: 7 | Cortes-beta: 5 | Tempo: 0.193s
Jogada: (E 4 3) | Nos: 105 | Cortes-alpha: 7 | Cortes-beta: 3 | Tempo: 0.127s
Jogada: (E 6 4) | Nos: 174 | Cortes-alpha: 6 | Cortes-beta: 12 | Tempo: 0.237s
Jogada: (B 2 3) | Nos: 45 | Cortes-alpha: 2 | Cortes-beta: 1 | Tempo: 0.066s
Jogada: (C 6 3) | Nos: 92 | Cortes-alpha: 2 | Cortes-beta: 7 | Tempo: 0.136s
Jogada: (B 2 5) | Nos: 322 | Cortes-alpha: 6 | Cortes-beta: 23 | Tempo: 0.406s
Jogada: (C 6 5) | Nos: 239 | Cortes-alpha: 5 | Cortes-beta: 52 | Tempo: 0.321s
Jogada: (B 2 4) | Nos: 464 | Cortes-alpha: 11 | Cortes-beta: 33 | Tempo: 0.589s
Jogada: (C 6 4) | Nos: 335 | Cortes-alpha: 11 | Cortes-beta: 29 | Tempo: 0.441s
Jogada: (B 1 4) | Nos: 354 | Cortes-alpha: 9 | Cortes-beta: 18 | Tempo: 0.448s
Jogada: (C 7 4) | Nos: 952 | Cortes-alpha: 8 | Cortes-beta: 88 | Tempo: 1.238s
Jogada: (B 3 3) | Nos: 472 | Cortes-alpha: 11 | Cortes-beta: 46 | Tempo: 0.630s
Jogada: (E 5 3) | Nos: 649 | Cortes-alpha: 13 | Cortes-beta: 40 | Tempo: 0.839s
Jogada: (E 3 4) | Nos: 837 | Cortes-alpha: 13 | Cortes-beta: 47 | Tempo: 1.082s
Jogada: (C 6 3) | Nos: 394 | Cortes-alpha: 57 | Cortes-beta: 8 | Tempo: 0.324s
Jogada: (C 6 5) | Nos: 1034 | Cortes-alpha: 129 | Cortes-beta: 18 | Tempo: 0.750s
Jogada: (E 6 4) | Nos: 1545 | Cortes-alpha: 337 | Cortes-beta: 29 | Tempo: 1.185s
Jogada: (E 5 3) | Nos: 933 | Cortes-alpha: 119 | Cortes-beta: 17 | Tempo: 0.686s
Jogada: (B 2 3) | Nos: 144 | Cortes-alpha: 26 | Cortes-beta: 2 | Tempo: 0.132s
Jogada: (B 1 3) | Nos: 874 | Cortes-alpha: 173 | Cortes-beta: 13 | Tempo: 0.685s
Jogada: (CB 3 3) | Nos: 790 | Cortes-alpha: 130 | Cortes-beta: 16 | Tempo: 0.617s
Jogada: (CB 5 3) | Nos: 638 | Cortes-alpha: 153 | Cortes-beta: 16 | Tempo: 0.525s
Jogada: (CC 7 3) | Nos: 340 | Cortes-alpha: 106 | Cortes-beta: 8 | Tempo: 0.302s
Jogada: (B 2 4) | Nos: 512 | Cortes-alpha: 199 | Cortes-beta: 8 | Tempo: 0.446s
Jogada: (CB 5 3) | Nos: 896 | Cortes-alpha: 304 | Cortes-beta: 16 | Tempo: 0.762s
Jogada: (B 2 5) | Nos: 613 | Cortes-alpha: 327 | Cortes-beta: 17 | Tempo: 0.565s
Jogada: (B 1 5) | Nos: 430 | Cortes-alpha: 282 | Cortes-beta: 8 | Tempo: 0.428s
Jogada: (B 2 3) | Nos: 144 | Cortes-alpha: 26 | Cortes-beta: 2 | Tempo: 0.125s
Jogada: (C 6 3) | Nos: 394 | Cortes-alpha: 57 | Cortes-beta: 8 | Tempo: 0.302s
Jogada: (B 1 3) | Nos: 874 | Cortes-alpha: 173 | Cortes-beta: 13 | Tempo: 0.642s
Jogada: (C 6 5) | Nos: 1034 | Cortes-alpha: 129 | Cortes-beta: 18 | Tempo: 0.735s
Jogada: (B 2 4) | Nos: 1485 | Cortes-alpha: 245 | Cortes-beta: 32 | Tempo: 1.087s
Jogada: (B 2 3) | Nos: 45 | Cortes-alpha: 2 | Cortes-beta: 1 | Tempo: 0.038s
Jogada: (C 6 3) | Nos: 92 | Cortes-alpha: 2 | Cortes-beta: 7 | Tempo: 0.077s
Jogada: (B 2 5) | Nos: 322 | Cortes-alpha: 6 | Cortes-beta: 23 | Tempo: 0.241s
Jogada: (C 6 5) | Nos: 239 | Cortes-alpha: 5 | Cortes-beta: 52 | Tempo: 0.177s
Jogada: (B 2 4) | Nos: 464 | Cortes-alpha: 11 | Cortes-beta: 33 | Tempo: 0.325s
Jogada: (C 6 4) | Nos: 335 | Cortes-alpha: 11 | Cortes-beta: 29 | Tempo: 0.242s
Jogada: (B 1 4) | Nos: 354 | Cortes-alpha: 9 | Cortes-beta: 18 | Tempo: 0.249s
Jogada: (C 7 4) | Nos: 952 | Cortes-alpha: 8 | Cortes-beta: 88 | Tempo: 0.668s
Jogada: (B 3 3) | Nos: 472 | Cortes-alpha: 11 | Cortes-beta: 46 | Tempo: 0.340s
Jogada: (E 5 3) | Nos: 649 | Cortes-alpha: 13 | Cortes-beta: 40 | Tempo: 0.461s
Jogada: (E 3 4) | Nos: 837 | Cortes-alpha: 13 | Cortes-beta: 47 | Tempo: 0.598s
Jogada: (B 2 3) | Nos: 144 | Cortes-alpha: 26 | Cortes-beta: 2 | Tempo: 0.127s
Jogada: (C 6 3) | Nos: 394 | Cortes-alpha: 57 | Cortes-beta: 8 | Tempo: 0.298s
Jogada: (B 1 3) | Nos: 874 | Cortes-alpha: 173 | Cortes-beta: 13 | Tempo: 0.645s
Jogada: (C 6 5) | Nos: 1034 | Cortes-alpha: 129 | Cortes-beta: 18 | Tempo: 0.736s
Jogada: (B 2 4) | Nos: 1485 | Cortes-alpha: 245 | Cortes-beta: 32 | Tempo: 1.086s
Jogada: (C 6 3) | Nos: 394 | Cortes-alpha: 57 | Cortes-beta: 8 | Tempo: 0.322s
Jogada: (E 5 3) | Nos: 1177 | Cortes-alpha: 170 | Cortes-beta: 31 | Tempo: 0.907s
Jogada: (C 6 4) | Nos: 1266 | Cortes-alpha: 181 | Cortes-beta: 22 | Tempo: 0.942s
Jogada: (C 5 2) | Nos: 1107 | Cortes-alpha: 261 | Cortes-beta: 30 | Tempo: 0.879s
Jogada: (C 6 3) | Nos: 394 | Cortes-alpha: 57 | Cortes-beta: 8 | Tempo: 0.298s
Jogada: (CC 5 3) | Nos: 596 | Cortes-alpha: 91 | Cortes-beta: 17 | Tempo: 0.457s
Jogada: (CC 3 3) | Nos: 550 | Cortes-alpha: 105 | Cortes-beta: 10 | Tempo: 0.434s
Jogada: (CB 1 3) | Nos: 198 | Cortes-alpha: 49 | Cortes-beta: 2 | Tempo: 0.175s
Jogada: (C 6 4) | Nos: 502 | Cortes-alpha: 145 | Cortes-beta: 15 | Tempo: 0.421s
Jogada: (B 3 3) | Nos: 1163 | Cortes-alpha: 429 | Cortes-beta: 34 | Tempo: 0.949s
Jogada: (C 6 5) | Nos: 890 | Cortes-alpha: 262 | Cortes-beta: 19 | Tempo: 0.707s
Jogada: (CC 4 3) | Nos: 629 | Cortes-alpha: 228 | Cortes-beta: 16 | Tempo: 0.530s
Jogada: (C 5 5) | Nos: 707 | Cortes-alpha: 309 | Cortes-beta: 20 | Tempo: 0.596s
Jogada: (C 2 3) | Nos: 252 | Cortes-alpha: 40 | Cortes-beta: 11 | Tempo: 0.206s
Jogada: (CD 1 3) | Nos: 147 | Cortes-alpha: 6 | Cortes-beta: 6 | Tempo: 0.121s
Jogada: (C 6 3) | Nos: 394 | Cortes-alpha: 57 | Cortes-beta: 8 | Tempo: 0.312s
Jogada: (C 6 5) | Nos: 1034 | Cortes-alpha: 129 | Cortes-beta: 18 | Tempo: 0.755s
Jogada: (B 2 3) | Nos: 144 | Cortes-alpha: 26 | Cortes-beta: 2 | Tempo: 0.123s
Jogada: (C 6 3) | Nos: 394 | Cortes-alpha: 57 | Cortes-beta: 8 | Tempo: 0.299s
Jogada: (B 1 3) | Nos: 874 | Cortes-alpha: 173 | Cortes-beta: 13 | Tempo: 0.640s
Jogada: (C 6 5) | Nos: 1034 | Cortes-alpha: 129 | Cortes-beta: 18 | Tempo: 0.734s
Jogada: (B 2 4) | Nos: 1485 | Cortes-alpha: 245 | Cortes-beta: 32 | Tempo: 1.163s
